DateTime,OPEN,CLOSE,VOLUME,AMT
2015/5/5,4785.192,4596.837,46041962600,6.6002E+11
2015/5/6,4626.231,4553.327,37607370200,5.86034E+11
2015/5/7,4520.818,4470.089,29775920300,4.2719E+11
2015/5/8,4515.554,4558.404,30240796700,4.52091E+11
2015/5/11,4582.091,4690.532,37383842000,5.8326E+11
2015/5/12,4692.122,4747.421,37705389100,6.07123E+11
2015/5/13,4746.713,4718.436,37073042400,5.9048E+11
2015/5/14,4717.955,4700.778,33772515200,5.1322E+11
2015/5/15,4690.755,4617.47,32843116600,5.06695E+11
2015/5/18,4582.058,4575.14,26918048900,4.34083E+11
2015/5/19,4577.637,4731.222,31478595200,5.24232E+11
2015/5/20,4751.572,4754.919,36318074800,5.89956E+11
2015/5/21,4768.689,4840.976,30505453700,5.05346E+11
2015/5/22,4895.925,4951.335,45584671800,7.1913E+11
2015/5/25,4949.11,5099.495,46573659000,7.57086E+11
2015/5/26,5140.798,5198.918,48794935900,8.02296E+11
2015/5/27,5216.17,5181.434,47079873000,7.77826E+11
2015/5/28,5174.101,4834.007,57182904700,8.73207E+11
2015/5/29,4839.53,4840.829,42787885900,6.36008E+11
2015/6/1,4862.756,5076.179,41750374100,6.37844E+11
2015/6/2,5091.272,5161.87,41297319600,6.58453E+11
2015/6/3,5176.597,5143.59,41425827000,6.72057E+11
2015/6/4,5156.012,5181.416,48276726800,7.35171E+11
2015/6/5,5254.905,5230.552,54596119600,8.55224E+11
2015/6/8,5259.408,5353.751,63731323700,9.49498E+11
2015/6/9,5379.47,5317.461,57042726300,8.71432E+11
2015/6/10,5254.3042,5309.112,44216567600,7.11509E+11
2015/6/11,5305.1407,5306.59,39233875500,6.60585E+11
2015/6/12,5329.2781,5335.1151,43013138600,6.94213E+11
2015/6/15,5354.0138,5221.1665,47574570300,7.66238E+11
2015/6/16,5165.0245,5064.8212,41167563800,6.51523E+11
2015/6/17,5072.3064,5138.8307,39712418700,5.89868E+11
2015/6/18,5107.6946,4930.5491,36439581400,5.55647E+11
2015/6/19,4847.0568,4637.0517,35810474400,5.1961E+11
2015/6/23,4641.4248,4786.0906,36508794400,5.36984E+11
2015/6/24,4811.5949,4880.1261,43463872300,6.15374E+11
2015/6/25,4906.2416,4706.5159,44613598200,6.40246E+11
2015/6/26,4573.8723,4336.1947,44663979000,6.12959E+11
2015/6/29,4446.8419,4191.5486,52566248200,7.04015E+11
2015/6/30,4161.0672,4472.9976,52704528000,7.16046E+11
2015/7/1,4408.9843,4253.021,43172141100,6.23331E+11
2015/7/2,4287.7344,4107.9961,45706219400,5.93507E+11
2015/7/3,4017.2019,3885.9169,42930085000,5.38217E+11
2015/7/6,4218.266,3998.537,64809453000,7.79558E+11
2015/7/7,3877.8539,3928.0025,67938500700,7.95963E+11
2015/7/8,3651.0604,3663.0375,58146709700,6.40122E+11
2015/7/9,3621.6804,3897.6263,50387061000,5.64744E+11
2015/7/10,3916.2717,4106.5561,50070180200,6.2908E+11
2015/7/13,4132.2308,4211.8116,50209218600,6.59252E+11
2015/7/14,4178.6295,4112.1488,45442200900,5.97521E+11
2015/7/15,4068.8803,3966.7585,42195636700,5.14065E+11
2015/7/16,3949.639,3997.3555,33053134500,4.10051E+11
2015/7/17,4023.7567,4151.4956,33110713100,4.35597E+11
2015/7/20,4157.0598,4160.612,35267347200,4.83494E+11
2015/7/21,4109.7606,4166.0057,31837494500,4.31696E+11
2015/7/22,4148.5601,4157.1604,31894599700,4.41833E+11
2015/7/23,4158.932,4250.805,35447175900,4.83972E+11
2015/7/24,4255.1977,4176.2787,39204537300,5.35902E+11
2015/7/27,4097.7963,3818.7314,36505451100,4.77952E+11
2015/7/28,3690.9741,3811.0926,38352721600,4.82655E+11
2015/7/29,3839.9585,3930.3791,27697284500,3.72288E+11
2015/7/30,3915.7795,3815.4118,27154866500,3.76351E+11
2015/7/31,3777.1546,3816.6993,22237676700,2.99313E+11
2015/8/3,3766.0719,3829.2354,24580503000,3.09631E+11
2015/8/4,3827.3726,3948.1554,22023655600,2.88757E+11
2015/8/5,3937.6232,3866.8998,20048426900,2.72694E+11
2015/8/6,3802.928,3831.8516,14727869400,1.95532E+11
2015/8/7,3866.4298,3906.9448,18334915300,2.46546E+11
2015/8/10,3947.4724,4084.3646,30678054000,4.01702E+11
2015/8/11,4083.5887,4066.6692,32203419100,4.16997E+11
2015/8/12,4025.6735,4016.1262,25514619600,3.39799E+11
2015/8/13,4010.0129,4075.463,24283697900,3.19888E+11
2015/8/14,4097.9177,4073.54,25339299600,3.40077E+11
2015/8/17,4058.1129,4077.8721,25693963800,3.36831E+11
2015/8/18,4084.3108,3825.4122,31988107000,4.24924E+11
2015/8/19,3748.2663,3886.1357,26904983900,3.40923E+11
2015/8/20,3848.4034,3761.4541,21216796500,2.70577E+11
2015/8/21,3714.2891,3589.5358,21798640300,2.67498E+11
2015/8/24,3454.5977,3275.5342,25543665200,2.73124E+11
2015/8/25,3070.0069,3042.9266,27608130600,2.8116E+11
2015/8/26,3062.566,3025.692,30827062300,3.12188E+11
2015/8/27,3092.8123,3205.6375,26729493000,2.7877E+11
2015/8/28,3246.236,3342.2863,29949842600,3.18763E+11
2015/8/31,3307.3962,3366.5359,28025040300,3.06611E+11
2015/9/1,3296.5289,3362.0827,35245852800,3.51388E+11
2015/9/2,3220.8505,3365.8318,34778941200,3.48986E+11
2015/9/7,3347.2934,3250.485,20422443100,2.21757E+11
2015/9/8,3221.789,3334.0233,15459963100,1.68295E+11
2015/9/9,3344.8238,3399.3054,22046742100,2.58816E+11
2015/9/10,3349.2806,3357.561,14488297100,1.68108E+11
2015/9/11,3349.8772,3347.1878,10854750800,1.30262E+11
2015/9/14,3367.642,3281.1317,20545725100,2.26169E+11
2015/9/15,3208.744,3152.2319,14355564100,1.45989E+11
2015/9/16,3149.1577,3309.2484,15970999400,1.6827E+11
2015/9/17,3287.6567,3236.9986,16940188100,1.9027E+11
2015/9/18,3254.4432,3251.2732,10690348100,1.21753E+11
2015/9/21,3222.6029,3308.2467,12278866800,1.45323E+11
2015/9/22,3312.3655,3339.03,14622198500,1.72493E+11
2015/9/23,3290.0712,3263.0275,12317143900,1.36886E+11
2015/9/24,3278.8962,3284.9991,10201123800,1.20821E+11
2015/9/25,3272.665,3231.9514,12141927800,1.37602E+11
2015/9/28,3226.6072,3242.7524,7421946800,88007466971
2015/9/29,3197.2209,3178.8544,8715063300,96691510035
2015/9/30,3195.901,3202.9475,7855934900,95881598729
2015/10/8,3324.981,3296.482,13208176800,1.64121E+11
2015/10/9,3302.3596,3340.1159,12435250000,1.44731E+11
2015/10/12,3351.1391,3447.6934,22140046800,2.63706E+11
2015/10/13,3422.4772,3445.0431,14543378600,1.74979E+11
2015/10/14,3431.1352,3406.1116,15217393800,1.74599E+11
2015/10/15,3403.3891,3486.815,17115829900,2.01882E+11
2015/10/16,3508.5177,3534.0653,20896470900,2.52211E+11
2015/10/19,3548.9525,3534.1821,20760674400,2.54891E+11
2015/10/20,3527.875,3577.7027,17902510800,2.26526E+11
2015/10/21,3580.8378,3473.2544,28207605000,3.26887E+11
2015/10/22,3453.2013,3524.5339,18430558000,2.23584E+11
2015/10/23,3536.8425,3571.2411,19829447800,2.4706E+11
2015/10/26,3614.7023,3589.2611,20424886300,2.7049E+11
2015/10/27,3569.4486,3592.8794,19205614000,2.39043E+11
2015/10/28,3575.8048,3524.9199,17097709800,2.13303E+11
2015/10/29,3539.9777,3533.3065,12701044600,1.61052E+11
2015/10/30,3530.2233,3534.0788,13914191400,1.83317E+11
2015/11/2,3489.2252,3475.9623,13000256800,1.67455E+11
2015/11/3,3484.7218,3465.4927,10140187600,1.32232E+11
2015/11/4,3477.1592,3628.5377,20542386500,2.66956E+11
2015/11/5,3630.7817,3705.9697,39804656800,4.95138E+11
2015/11/6,3698.342,3793.3739,29875307600,3.89779E+11
2015/11/9,3796.3792,3840.3547,35680482300,4.63162E+11
2015/11/10,3806.6685,3833.2379,28651960300,3.80911E+11
2015/11/11,3828.4476,3833.6457,23223429600,3.07008E+11
2015/11/12,3841.7376,3795.3241,21753764700,3.02447E+11
2015/11/13,3756.2044,3746.2422,20348989100,2.81961E+11
2015/11/16,3682.7349,3764.1262,16169090100,2.27484E+11
2015/11/17,3790.4261,3758.3869,24853307100,3.65139E+11
2015/11/18,3760.4555,3715.5796,18568949500,2.54138E+11
2015/11/19,3725.622,3774.969,15463198900,2.04558E+11
2015/11/20,3778.8843,3774.3833,18695168900,2.42295E+11
2015/11/23,3774.4356,3753.3351,17562681200,2.34641E+11
2015/11/24,3745.7607,3753.8887,14338328300,1.92495E+11
2015/11/25,3747.7594,3781.6069,15194494100,2.15125E+11
2015/11/26,3795.2454,3759.4286,17352546800,2.39797E+11
2015/11/27,3739.0958,3556.9924,20893935800,2.69758E+11
2015/11/30,3554.89,3566.4122,17320116300,2.20098E+11
2015/12/1,3562.3186,3591.696,13653655400,1.76599E+11
2015/12/2,3587.7576,3721.9545,21353886500,2.60939E+11
2015/12/3,3709.5469,3749.2985,19776212600,2.36699E+11
2015/12/4,3719.7338,3677.5922,15119952200,1.96456E+11
2015/12/7,3681.5817,3687.6073,11388315000,1.6122E+11
2015/12/8,3668.8385,3623.0202,12578108300,1.63317E+11
2015/12/9,3613.4203,3635.9382,11332542200,1.5432E+11
2015/12/10,3634.366,3623.0842,12021562500,1.68622E+11
2015/12/11,3605.3723,3608.0587,11032248100,1.45249E+11
2015/12/14,3573.8838,3711.322,15176911900,2.03292E+11
2015/12/15,3707.7304,3694.3885,12648171000,1.86795E+11
2015/12/16,3703.9503,3685.4398,11134272300,1.60118E+11
2015/12/17,3712.7833,3755.8881,17792407500,2.42544E+11
2015/12/18,3754.9603,3767.9128,17346598000,2.32281E+11
2015/12/21,3762.097,3865.965,21743527500,2.89905E+11
2015/12/22,3872.0975,3876.7325,18030366100,2.43797E+11
2015/12/23,3877.8722,3866.3814,20701714700,2.94711E+11
2015/12/24,3858.1348,3829.4022,14718139700,2.03684E+11
2015/12/25,3832.0849,3838.201,11962401300,1.63315E+11
2015/12/28,3847.5323,3727.6316,15398844000,2.10026E+11
2015/12/29,3723.0498,3761.8745,10188555500,1.40405E+11
2015/12/30,3762.9141,3765.1752,10562995500,1.55744E+11
2015/12/31,3760.9039,3731.0047,10187355600,1.45044E+11
2016/1/4,3725.8561,3469.0662,11537067400,1.45968E+11
2016/1/5,3382.1769,3478.7797,16211698400,1.96017E+11
2016/1/6,3482.4064,3539.8082,14596614400,1.60947E+11
2016/1/7,3481.1499,3294.3839,4410264100,47130795628
2016/1/8,3371.871,3361.5632,18595945100,2.03499E+11
2016/1/11,3303.1246,3192.4499,17463838700,1.84464E+11
2016/1/12,3214.8234,3215.7099,12822579600,1.42049E+11
2016/1/13,3240.4838,3155.8787,12066649400,1.30886E+11
2016/1/14,3076.6445,3221.5714,13453767100,1.44772E+11
2016/1/15,3200.888,3118.7301,12460177900,1.31883E+11
2016/1/18,3068.2348,3130.7289,10112838600,1.09458E+11
2016/1/19,3132.7047,3223.1251,12765389300,1.42908E+11
